R,iter,energy,max_abs_grad,cond
1.200000,1,-108.699651959759,1.828932667968e-02,1.222407349654e+18
1.200000,2,-108.701850542608,4.147281615219e-03,3.039688480332e+16
1.200000,3,-108.702690732300,1.742087966484e-02,2.400779142412e+16
1.200000,4,-108.703552483013,2.601700976421e-02,4.447859883073e+16
1.200000,5,-108.703800697095,8.605034933401e-03,1.901231817093e+16
1.200000,6,-108.703841004398,4.491254964871e-03,4.859807398876e+16
1.200000,7,-108.703861931102,2.819714150911e-03,3.590197379909e+16
1.200000,8,-108.703885122648,2.875806707675e-03,2.580710990646e+16
1.200000,9,-108.703908068503,2.926182108637e-03,6.110022904892e+16
1.200000,10,-108.703931374780,2.978043973922e-03,1.780559771790e+16
1.200000,11,-108.703955239439,3.037534507578e-03,2.628580807590e+16
1.200000,12,-108.706916713854,2.382797412414e-02,1.847904519503e+16
1.200000,13,-108.707919324286,2.688592186055e-02,1.248889456465e+16
1.200000,14,-108.709283687662,2.121800646728e-02,1.415709372443e+16
1.200000,15,-108.709885050243,8.435551310543e-03,1.601081756830e+16
1.200000,16,-108.710049101500,7.342238820715e-03,2.945572629425e+16
1.200000,17,-108.710160093290,9.931070805576e-03,2.179698793026e+16
1.200000,18,-108.710269955439,9.030354704910e-03,2.441042955636e+16
1.200000,19,-108.710371655781,8.183472655079e-03,1.594256166609e+16
1.200000,20,-108.710463016368,7.003395429157e-03,1.537147213390e+16
1.200000,21,-108.710540942209,5.415198584901e-03,1.660313617360e+16
1.200000,22,-108.710599007450,3.844651716511e-03,1.591494038418e+16
1.200000,23,-108.710663654536,5.631784798324e-03,1.434724800196e+16
1.200000,24,-108.710850021775,9.746367249560e-03,2.678690949246e+16
1.200000,25,-108.710902942826,3.990961338355e-03,1.702026384248e+16
1.200000,26,-108.710914282648,2.460747222503e-03,2.864505338446e+16
1.200000,27,-108.711633934140,1.822247932976e-02,1.817082631252e+16
1.200000,28,-108.712800781075,2.156694650605e-02,2.086441602930e+16
1.200000,29,-108.713369997964,1.215276084198e-02,1.590853321802e+16
1.200000,30,-108.713612385853,6.355417795144e-03,3.888781165542e+16
1.200000,31,-108.713737018695,8.334273472892e-03,1.477484863758e+16
1.200000,32,-108.713822604552,5.768434754291e-03,1.052512094255e+16
1.200000,33,-108.713877995453,5.696829418872e-03,1.647654959598e+16
1.200000,34,-108.713921126868,5.888881719236e-03,1.306257533591e+16
1.200000,35,-108.713954903934,5.247185450899e-03,1.173762244263e+16
1.200000,36,-108.713980028236,4.458827190478e-03,1.532529027395e+16
1.200000,37,-108.713998449107,4.054987410160e-03,1.352029321643e+16
1.200000,38,-108.714012387721,2.806822216760e-03,1.652158103992e+16
1.200000,39,-108.714022341821,3.064227816253e-03,2.027205949329e+16
1.200000,40,-108.714030734162,2.134752289545e-03,2.980399937119e+16
1.200000,41,-108.714036987593,2.280257533877e-03,1.798712521433e+16
1.200000,42,-108.714042279287,1.531623156428e-03,1.234737552214e+16
1.200000,43,-108.714046220200,1.370324470690e-03,1.401152358149e+16
1.200000,44,-108.714049308634,9.021854262867e-04,2.079412801406e+16
1.200000,45,-108.714051913010,1.227239197483e-03,4.215245587872e+16
1.200000,46,-108.714054351978,9.493257778363e-04,2.286657799824e+16
1.200000,47,-108.714056456843,1.001916656682e-03,1.210088654383e+16
1.200000,48,-108.714058220691,5.076335389102e-04,1.140345731956e+16
1.200000,49,-108.714059345813,3.086333481344e-04,1.419943023888e+16
1.200000,50,-108.714060303012,2.173317092603e-04,1.973799487585e+16
1.200000,51,-108.714061470069,6.440107407048e-04,3.784040369844e+16
1.200000,52,-108.714062728214,7.569939358073e-04,1.423093276300e+16
1.200000,53,-108.714063901050,8.228482575825e-04,1.565018193840e+16
1.200000,54,-108.714065048192,9.122422761325e-04,1.128334812590e+16
1.200000,55,-108.714066219814,1.003078717003e-03,4.336336694735e+16
